Training_Model,Test_Category,Specific_Environment,Emotion_Class,Precision,Recall,F1_Score,Overall_Model_Accuracy
SVM_LINEAR_Clean,Raw_Noisy,Cafe_15dB,WEIGHTED AVG,0.6285937149084917,0.5420560747663551,0.548717612269014,0.5420560747663551
SVM_LINEAR_Clean,Raw_Noisy,Cafe_5dB,Anger (W),0.5555555555555556,0.19230769230769232,0.2857142857142857,0.32710280373831774
SVM_LINEAR_Clean,Raw_Noisy,Cafe_5dB,Boredom (L),0.3157894736842105,0.375,0.34285714285714286,0.32710280373831774
SVM_LINEAR_Clean,Raw_Noisy,Cafe_5dB,Disgust (E),0.2,0.6666666666666666,0.3076923076923077,0.32710280373831774
SVM_LINEAR_Clean,Raw_Noisy,Cafe_5dB,Anxiety/Fear (A),0.3333333333333333,0.7857142857142857,0.46808510638297873,0.32710280373831774
SVM_LINEAR_Clean,Raw_Noisy,Cafe_5dB,Happiness (F),0.38461538461538464,0.35714285714285715,0.37037037037037035,0.32710280373831774
SVM_LINEAR_Clean,Raw_Noisy,Cafe_5dB,Sadness (T),0.5,0.08333333333333333,0.14285714285714285,0.32710280373831774
SVM_LINEAR_Clean,Raw_Noisy,Cafe_5dB,Neutral (N),1.0,0.0625,0.11764705882352941,0.32710280373831774
SVM_LINEAR_Clean,Raw_Noisy,Cafe_5dB,MACRO AVG,0.46989910674121205,0.36038069073783363,0.29074620209967966,0.32710280373831774
SVM_LINEAR_Clean,Raw_Noisy,Cafe_5dB,WEIGHTED AVG,0.49858278574461556,0.32710280373831774,0.2898928206871547,0.32710280373831774
SVM_LINEAR_Clean,Raw_Noisy,Street_-10dB,Anger (W),0.4,0.07692307692307693,0.12903225806451613,0.16822429906542055
SVM_LINEAR_Clean,Raw_Noisy,Street_-10dB,Boredom (L),0.21428571428571427,0.1875,0.2,0.16822429906542055
SVM_LINEAR_Clean,Raw_Noisy,Street_-10dB,Disgust (E),0.14285714285714285,0.6666666666666666,0.23529411764705882,0.16822429906542055
SVM_LINEAR_Clean,Raw_Noisy,Street_-10dB,Anxiety/Fear (A),0.13636363636363635,0.42857142857142855,0.20689655172413793,0.16822429906542055
SVM_LINEAR_Clean,Raw_Noisy,Street_-10dB,Happiness (F),0.0,0.0,0.0,0.16822429906542055
SVM_LINEAR_Clean,Raw_Noisy,Street_-10dB,Sadness (T),1.0,0.08333333333333333,0.15384615384615385,0.16822429906542055
SVM_LINEAR_Clean,Raw_Noisy,Street_-10dB,Neutral (N),0.0,0.0,0.0,0.16822429906542055
SVM_LINEAR_Clean,Raw_Noisy,Street_-10dB,MACRO AVG,0.27050092764378475,0.20614207221350078,0.13215272589740953,0.16822429906542055
SVM_LINEAR_Clean,Raw_Noisy,Street_-10dB,WEIGHTED AVG,0.27124651049884696,0.16822429906542055,0.12537561998871707,0.16822429906542055
SVM_LINEAR_Clean,Raw_Noisy,Street_-5dB,Anger (W),0.7777777777777778,0.2692307692307692,0.4,0.2897196261682243
SVM_LINEAR_Clean,Raw_Noisy,Street_-5dB,Boredom (L),0.5,0.375,0.42857142857142855,0.2897196261682243
SVM_LINEAR_Clean,Raw_Noisy,Street_-5dB,Disgust (E),0.1956521739130435,1.0,0.32727272727272727,0.2897196261682243
SVM_LINEAR_Clean,Raw_Noisy,Street_-5dB,Anxiety/Fear (A),0.22857142857142856,0.5714285714285714,0.32653061224489793,0.2897196261682243
SVM_LINEAR_Clean,Raw_Noisy,Street_-5dB,Happiness (F),0.0,0.0,0.0,0.2897196261682243
SVM_LINEAR_Clean,Raw_Noisy,Street_-5dB,Sadness (T),0.5,0.08333333333333333,0.14285714285714285,0.2897196261682243
SVM_LINEAR_Clean,Raw_Noisy,Street_-5dB,Neutral (N),0.0,0.0,0.0,0.2897196261682243
SVM_LINEAR_Clean,Raw_Noisy,Street_-5dB,MACRO AVG,0.31457162575174996,0.3284275248560963,0.23217598727802807,0.2897196261682243
SVM_LINEAR_Clean,Raw_Noisy,Street_-5dB,WEIGHTED AVG,0.3661971195087814,0.2897196261682243,0.24755431484403448,0.2897196261682243
SVM_LINEAR_Clean,Raw_Noisy,Street_0dB,Anger (W),0.6111111111111112,0.4230769230769231,0.5,0.42990654205607476
SVM_LINEAR_Clean,Raw_Noisy,Street_0dB,Boredom (L),0.3333333333333333,0.3125,0.3225806451612903,0.42990654205607476
SVM_LINEAR_Clean,Raw_Noisy,Street_0dB,Disgust (E),0.32142857142857145,1.0,0.4864864864864865,0.42990654205607476
SVM_LINEAR_Clean,Raw_Noisy,Street_0dB,Anxiety/Fear (A),0.36666666666666664,0.7857142857142857,0.5,0.42990654205607476
SVM_LINEAR_Clean,Raw_Noisy,Street_0dB,Happiness (F),0.4,0.2857142857142857,0.3333333333333333,0.42990654205607476
SVM_LINEAR_Clean,Raw_Noisy,Street_0dB,Sadness (T),1.0,0.3333333333333333,0.5,0.42990654205607476
SVM_LINEAR_Clean,Raw_Noisy,Street_0dB,Neutral (N),1.0,0.125,0.2222222222222222,0.42990654205607476
SVM_LINEAR_Clean,Raw_Noisy,Street_0dB,MACRO AVG,0.5760770975056689,0.46647697540554683,0.40923181245761897,0.42990654205607476
SVM_LINEAR_Clean,Raw_Noisy,Street_0dB,WEIGHTED AVG,0.5873683429758195,0.42990654205607476,0.4089896347960864,0.42990654205607476
SVM_LINEAR_Clean,Raw_Noisy,Street_10dB,Anger (W),0.6521739130434783,0.5769230769230769,0.6122448979591837,0.5046728971962616
SVM_LINEAR_Clean,Raw_Noisy,Street_10dB,Boredom (L),0.36363636363636365,0.25,0.2962962962962963,0.5046728971962616
SVM_LINEAR_Clean,Raw_Noisy,Street_10dB,Disgust (E),0.29411764705882354,0.5555555555555556,0.38461538461538464,0.5046728971962616
SVM_LINEAR_Clean,Raw_Noisy,Street_10dB,Anxiety/Fear (A),0.5625,0.6428571428571429,0.6,0.5046728971962616
SVM_LINEAR_Clean,Raw_Noisy,Street_10dB,Happiness (F),0.3333333333333333,0.35714285714285715,0.3448275862068966,0.5046728971962616
SVM_LINEAR_Clean,Raw_Noisy,Street_10dB,Sadness (T),0.5714285714285714,0.6666666666666666,0.6153846153846154,0.5046728971962616
SVM_LINEAR_Clean,Raw_Noisy,Street_10dB,Neutral (N),0.7272727272727273,0.5,0.5925925925925926,0.5046728971962616
SVM_LINEAR_Clean,Raw_Noisy,Street_10dB,MACRO AVG,0.500637507967614,0.507020757020757,0.4922801961507099,0.5046728971962616
SVM_LINEAR_Clean,Raw_Noisy,Street_10dB,WEIGHTED AVG,0.5276349115982693,0.5046728971962616,0.5066759777776766,0.5046728971962616
SVM_LINEAR_Clean,Raw_Noisy,Street_15dB,Anger (W),0.7407407407407407,0.7692307692307693,0.7547169811320755,0.6074766355140186
SVM_LINEAR_Clean,Raw_Noisy,Street_15dB,Boredom (L),0.5,0.25,0.3333333333333333,0.6074766355140186
SVM_LINEAR_Clean,Raw_Noisy,Street_15dB,Disgust (E),0.36363636363636365,0.4444444444444444,0.4,0.6074766355140186
SVM_LINEAR_Clean,Raw_Noisy,Street_15dB,Anxiety/Fear (A),0.6153846153846154,0.5714285714285714,0.5925925925925926,0.6074766355140186
SVM_LINEAR_Clean,Raw_Noisy,Street_15dB,Happiness (F),0.4375,0.5,0.4666666666666667,0.6074766355140186
SVM_LINEAR_Clean,Raw_Noisy,Street_15dB,Sadness (T),0.7333333333333333,0.9166666666666666,0.8148148148148148,0.6074766355140186
SVM_LINEAR_Clean,Raw_Noisy,Street_15dB,Neutral (N),0.6470588235294118,0.6875,0.6666666666666666,0.6074766355140186
SVM_LINEAR_Clean,Raw_Noisy,Street_15dB,MACRO AVG,0.5768076966606379,0.5913243502529217,0.5755415793151643,0.6074766355140186
SVM_LINEAR_Clean,Raw_Noisy,Street_15dB,WEIGHTED AVG,0.6021057226527265,0.6074766355140186,0.5965425132415081,0.6074766355140186
SVM_LINEAR_Clean,Raw_Noisy,Street_5dB,Anger (W),0.64,0.6153846153846154,0.6274509803921569,0.5233644859813084
SVM_LINEAR_Clean,Raw_Noisy,Street_5dB,Boredom (L),0.375,0.375,0.375,0.5233644859813084
