Training_Model,Test_Category,Specific_Environment,Emotion_Class,Precision,Recall,F1_Score,Overall_Model_Accuracy
Super_Model_Clean,Raw_Noisy,Cafe_5dB,MACRO AVG,0.49169026462259546,0.3510923600209315,0.2590073791754464,0.34579439252336447
Super_Model_Clean,Raw_Noisy,Cafe_5dB,WEIGHTED AVG,0.48657540197136856,0.34579439252336447,0.2722573559846787,0.34579439252336447
Super_Model_Clean,Raw_Noisy,Street_-10dB,Anger (W),0.36363636363636365,0.3076923076923077,0.3333333333333333,0.205607476635514
Super_Model_Clean,Raw_Noisy,Street_-10dB,Boredom (L),0.0,0.0,0.0,0.205607476635514
Super_Model_Clean,Raw_Noisy,Street_-10dB,Disgust (E),0.1323529411764706,1.0,0.23376623376623376,0.205607476635514
Super_Model_Clean,Raw_Noisy,Street_-10dB,Anxiety/Fear (A),0.25,0.07142857142857142,0.1111111111111111,0.205607476635514
Super_Model_Clean,Raw_Noisy,Street_-10dB,Happiness (F),0.0,0.0,0.0,0.205607476635514
Super_Model_Clean,Raw_Noisy,Street_-10dB,Sadness (T),0.3076923076923077,0.3333333333333333,0.32,0.205607476635514
Super_Model_Clean,Raw_Noisy,Street_-10dB,Neutral (N),0.0,0.0,0.0,0.205607476635514
Super_Model_Clean,Raw_Noisy,Street_-10dB,MACRO AVG,0.15052594464359167,0.24463631606488748,0.14260152545866833,0.205607476635514
Super_Model_Clean,Raw_Noisy,Street_-10dB,WEIGHTED AVG,0.16671055717234937,0.205607476635514,0.15108521800110583,0.205607476635514
Super_Model_Clean,Raw_Noisy,Street_-5dB,Anger (W),0.5135135135135135,0.7307692307692307,0.6031746031746031,0.34579439252336447
Super_Model_Clean,Raw_Noisy,Street_-5dB,Boredom (L),1.0,0.0625,0.11764705882352941,0.34579439252336447
Super_Model_Clean,Raw_Noisy,Street_-5dB,Disgust (E),0.17307692307692307,1.0,0.29508196721311475,0.34579439252336447
Super_Model_Clean,Raw_Noisy,Street_-5dB,Anxiety/Fear (A),0.5,0.35714285714285715,0.4166666666666667,0.34579439252336447
Super_Model_Clean,Raw_Noisy,Street_-5dB,Happiness (F),0.0,0.0,0.0,0.34579439252336447
Super_Model_Clean,Raw_Noisy,Street_-5dB,Sadness (T),0.42857142857142855,0.25,0.3157894736842105,0.34579439252336447
Super_Model_Clean,Raw_Noisy,Street_-5dB,Neutral (N),0.0,0.0,0.0,0.34579439252336447
Super_Model_Clean,Raw_Noisy,Street_-5dB,MACRO AVG,0.3735945521659807,0.3429160125588697,0.2497656813660178,0.34579439252336447
Super_Model_Clean,Raw_Noisy,Street_-5dB,WEIGHTED AVG,0.40235421310187663,0.34579439252336447,0.2789106294035331,0.34579439252336447
Super_Model_Clean,Raw_Noisy,Street_0dB,Anger (W),0.3409090909090909,0.5769230769230769,0.42857142857142855,0.37383177570093457
Super_Model_Clean,Raw_Noisy,Street_0dB,Boredom (L),0.25,0.0625,0.1,0.37383177570093457
Super_Model_Clean,Raw_Noisy,Street_0dB,Disgust (E),0.2571428571428571,1.0,0.4090909090909091,0.37383177570093457
Super_Model_Clean,Raw_Noisy,Street_0dB,Anxiety/Fear (A),0.5,0.5,0.5,0.37383177570093457
Super_Model_Clean,Raw_Noisy,Street_0dB,Happiness (F),0.0,0.0,0.0,0.37383177570093457
Super_Model_Clean,Raw_Noisy,Street_0dB,Sadness (T),0.7142857142857143,0.4166666666666667,0.5263157894736842,0.37383177570093457
Super_Model_Clean,Raw_Noisy,Street_0dB,Neutral (N),1.0,0.1875,0.3157894736842105,0.37383177570093457
Super_Model_Clean,Raw_Noisy,Street_0dB,MACRO AVG,0.4374768089053803,0.3919413919413919,0.32568108583146177,0.37383177570093457
Super_Model_Clean,Raw_Noisy,Street_0dB,WEIGHTED AVG,0.4369098191528098,0.37383177570093457,0.3251691250215598,0.37383177570093457
Super_Model_Clean,Raw_Noisy,Street_10dB,Anger (W),0.5714285714285714,0.6153846153846154,0.5925925925925926,0.48598130841121495
Super_Model_Clean,Raw_Noisy,Street_10dB,Boredom (L),0.3333333333333333,0.25,0.2857142857142857,0.48598130841121495
Super_Model_Clean,Raw_Noisy,Street_10dB,Disgust (E),0.35294117647058826,0.6666666666666666,0.46153846153846156,0.48598130841121495
Super_Model_Clean,Raw_Noisy,Street_10dB,Anxiety/Fear (A),0.5,0.42857142857142855,0.46153846153846156,0.48598130841121495
Super_Model_Clean,Raw_Noisy,Street_10dB,Happiness (F),0.3333333333333333,0.07142857142857142,0.11764705882352941,0.48598130841121495
Super_Model_Clean,Raw_Noisy,Street_10dB,Sadness (T),0.6666666666666666,0.6666666666666666,0.6666666666666666,0.48598130841121495
Super_Model_Clean,Raw_Noisy,Street_10dB,Neutral (N),0.4782608695652174,0.6875,0.5641025641025641,0.48598130841121495
Super_Model_Clean,Raw_Noisy,Street_10dB,MACRO AVG,0.4622805643996729,0.4837454212454212,0.44997144156808017,0.48598130841121495
Super_Model_Clean,Raw_Noisy,Street_10dB,WEIGHTED AVG,0.4736989472749685,0.48598130841121495,0.4604385088167386,0.48598130841121495
Super_Model_Clean,Raw_Noisy,Street_15dB,Anger (W),0.6333333333333333,0.7307692307692307,0.6785714285714286,0.514018691588785
Super_Model_Clean,Raw_Noisy,Street_15dB,Boredom (L),0.5,0.25,0.3333333333333333,0.514018691588785
Super_Model_Clean,Raw_Noisy,Street_15dB,Disgust (E),0.3076923076923077,0.4444444444444444,0.36363636363636365,0.514018691588785
Super_Model_Clean,Raw_Noisy,Street_15dB,Anxiety/Fear (A),0.5,0.21428571428571427,0.3,0.514018691588785
Super_Model_Clean,Raw_Noisy,Street_15dB,Happiness (F),0.25,0.07142857142857142,0.1111111111111111,0.514018691588785
Super_Model_Clean,Raw_Noisy,Street_15dB,Sadness (T),0.5625,0.75,0.6428571428571429,0.514018691588785
Super_Model_Clean,Raw_Noisy,Street_15dB,Neutral (N),0.5,0.9375,0.6521739130434783,0.514018691588785
Super_Model_Clean,Raw_Noisy,Street_15dB,MACRO AVG,0.4647893772893773,0.4854897087039944,0.44024047036469405,0.514018691588785
Super_Model_Clean,Raw_Noisy,Street_15dB,WEIGHTED AVG,0.4905224059429667,0.514018691588785,0.46872468810705303,0.514018691588785
Super_Model_Clean,Raw_Noisy,Street_5dB,Anger (W),0.4318181818181818,0.7307692307692307,0.5428571428571428,0.5046728971962616
Super_Model_Clean,Raw_Noisy,Street_5dB,Boredom (L),0.625,0.3125,0.4166666666666667,0.5046728971962616
Super_Model_Clean,Raw_Noisy,Street_5dB,Disgust (E),0.3181818181818182,0.7777777777777778,0.45161290322580644,0.5046728971962616
Super_Model_Clean,Raw_Noisy,Street_5dB,Anxiety/Fear (A),0.6363636363636364,0.5,0.56,0.5046728971962616
Super_Model_Clean,Raw_Noisy,Street_5dB,Happiness (F),0.3333333333333333,0.07142857142857142,0.11764705882352941,0.5046728971962616
Super_Model_Clean,Raw_Noisy,Street_5dB,Sadness (T),0.8,0.6666666666666666,0.7272727272727273,0.5046728971962616
Super_Model_Clean,Raw_Noisy,Street_5dB,Neutral (N),0.7777777777777778,0.4375,0.56,0.5046728971962616
Super_Model_Clean,Raw_Noisy,Street_5dB,MACRO AVG,0.5603535353535353,0.49952032094889237,0.4822937855494104,0.5046728971962616
